"year","Month","Make","Model","Units Sold"
"2018","1","Porsche","Porsche 718","415"
"2018","2","Porsche","Porsche 718","448"
"2018","3","Porsche","Porsche 718","489"
"2018","4","Porsche","Porsche 718","604"
"2018","5","Porsche","Porsche 718","531"
"2018","6","Porsche","Porsche 718","565"
"2018","7","Porsche","Porsche 718","531"
"2018","8","Porsche","Porsche 718","388"
"2018","9","Porsche","Porsche 718","329"
"2018","10","Porsche","Porsche 718","317"
"2018","11","Porsche","Porsche 718","422"
"2018","12","Porsche","Porsche 718","237"
"2018","1","Porsche","Porsche 911","853"
"2018","2","Porsche","Porsche 911","775"
"2018","3","Porsche","Porsche 911","883"
"2018","4","Porsche","Porsche 911","940"
"2018","5","Porsche","Porsche 911","801"
"2018","6","Porsche","Porsche 911","755"
"2018","7","Porsche","Porsche 911","524"
"2018","8","Porsche","Porsche 911","885"
"2018","9","Porsche","Porsche 911","733"
"2018","10","Porsche","Porsche 911","789"
"2018","11","Porsche","Porsche 911","1,056"
"2018","12","Porsche","Porsche 911","789"
"2018","1","Porsche","Porsche Cayenne","1,302"
"2018","2","Porsche","Porsche Cayenne","1,051"
"2018","3","Porsche","Porsche Cayenne","934"
"2018","4","Porsche","Porsche Cayenne","1,257"
"2018","5","Porsche","Porsche Cayenne","536"
"2018","6","Porsche","Porsche Cayenne","568"
"2018","7","Porsche","Porsche Cayenne","266"
"2018","8","Porsche","Porsche Cayenne","143"
"2018","9","Porsche","Porsche Cayenne","1,157"
"2018","10","Porsche","Porsche Cayenne","1,215"
"2018","11","Porsche","Porsche Cayenne","1,294"
"2018","12","Porsche","Porsche Cayenne","1,383"
"2018","1","Porsche","Porsche Macan","1,638"
"2018","2","Porsche","Porsche Macan","1,506"
"2018","3","Porsche","Porsche Macan","1,746"
"2018","4","Porsche","Porsche Macan","1,700"
"2018","5","Porsche","Porsche Macan","2,241"
"2018","6","Porsche","Porsche Macan","2,269"
"2018","7","Porsche","Porsche Macan","2,114"
"2018","8","Porsche","Porsche Macan","2,107"
"2018","9","Porsche","Porsche Macan","2,232"
"2018","10","Porsche","Porsche Macan","1,955"
"2018","11","Porsche","Porsche Macan","2,101"
"2018","12","Porsche","Porsche Macan","1,345"
"2018","1","Porsche","Porsche Panamera","610"
"2018","2","Porsche","Porsche Panamera","602"
"2018","3","Porsche","Porsche Panamera","704"
"2018","4","Porsche","Porsche Panamera","1,098"
"2018","5","Porsche","Porsche Panamera","896"
"2018","6","Porsche","Porsche Panamera","735"
"2018","7","Porsche","Porsche Panamera","585"
"2018","8","Porsche","Porsche Panamera","560"
"2018","9","Porsche","Porsche Panamera","651"
"2018","10","Porsche","Porsche Panamera","541"
"2018","11","Porsche","Porsche Panamera","800"
"2018","12","Porsche","Porsche Panamera","332"
"2019","1","Porsche","Porsche 718","263"
"2019","2","Porsche","Porsche 718","163"
"2019","3","Porsche","Porsche 718","239"
"2019","4","Porsche","Porsche 718","612"
"2019","5","Porsche","Porsche 718","456"
"2019","6","Porsche","Porsche 718","422"
"2019","7","Porsche","Porsche 718","438"
"2019","8","Porsche","Porsche 718","339"
"2019","9","Porsche","Porsche 718","271"
"2019","10","Porsche","Porsche 718","239"
"2019","11","Porsche","Porsche 718","247"
"2019","12","Porsche","Porsche 718","191"
"2019","1","Porsche","Porsche 911","1,101"
"2019","2","Porsche","Porsche 911","990"
"2019","3","Porsche","Porsche 911","803"
"2019","4","Porsche","Porsche 911","655"
"2019","5","Porsche","Porsche 911","613"
"2019","6","Porsche","Porsche 911","458"
"2019","7","Porsche","Porsche 911","408"
"2019","8","Porsche","Porsche 911","382"
"2019","9","Porsche","Porsche 911","911"
"2019","10","Porsche","Porsche 911","1,302"
"2019","11","Porsche","Porsche 911","979"
"2019","12","Porsche","Porsche 911","663"
"2019","1","Porsche","Porsche Cayenne","2,150"
"2019","2","Porsche","Porsche Cayenne","1,762"
"2019","3","Porsche","Porsche Cayenne","1,647"
"2019","4","Porsche","Porsche Cayenne","1,645"
"2019","5","Porsche","Porsche Cayenne","1,680"
"2019","6","Porsche","Porsche Cayenne","1,147"
"2019","7","Porsche","Porsche Cayenne","1,334"
"2019","8","Porsche","Porsche Cayenne","1,454"
"2019","9","Porsche","Porsche Cayenne","1,512"
"2019","10","Porsche","Porsche Cayenne","1,216"
"2019","11","Porsche","Porsche Cayenne","1,972"
"2019","12","Porsche","Porsche Cayenne","1,482"
"2019","1","Porsche","Porsche Macan","1,418"
"2019","2","Porsche","Porsche Macan","1,403"
"2019","3","Porsche","Porsche Macan","1,387"
"2019","4","Porsche","Porsche Macan","1,114"
"2019","5","Porsche","Porsche Macan","1,740"
"2019","6","Porsche","Porsche Macan","2,649"
"2019","7","Porsche","Porsche Macan","2,300"
"2019","8","Porsche","Porsche Macan","2,038"
"2019","9","Porsche","Porsche Macan","2,142"
"2019","10","Porsche","Porsche Macan","2,330"
"2019","11","Porsche","Porsche Macan","2,471"
"2019","12","Porsche","Porsche Macan","1,675"
"2019","1","Porsche","Porsche Panamera","487"
"2019","2","Porsche","Porsche Panamera","508"
"2019","3","Porsche","Porsche Panamera","703"
"2019","4","Porsche","Porsche Panamera","992"
"2019","5","Porsche","Porsche Panamera","521"
"2019","6","Porsche","Porsche Panamera","529"
"2019","7","Porsche","Porsche Panamera","476"
"2019","8","Porsche","Porsche Panamera","423"
"2019","9","Porsche","Porsche Panamera","377"
"2019","10","Porsche","Porsche Panamera","360"
"2019","11","Porsche","Porsche Panamera","657"
"2019","12","Porsche","Porsche Panamera","592"
"2020","1","Porsche","Porsche 718","130"
"2020","2","Porsche","Porsche 718","168"
"2020","3","Porsche","Porsche 718","102"
"2020","4","Porsche","Porsche 718","85"
"2020","5","Porsche","Porsche 718","189"
"2020","6","Porsche","Porsche 718","198"
"2020","7","Porsche","Porsche 718","380"
"2020","8","Porsche","Porsche 718","338"
"2020","9","Porsche","Porsche 718","366"
"2020","10","Porsche","Porsche 718","503"
"2020","11","Porsche","Porsche 718","413"
"2020","12","Porsche","Porsche 718","575"
"2020","1","Porsche","Porsche 911","841"
"2020","2","Porsche","Porsche 911","1,089"
"2020","3","Porsche","Porsche 911","660"
"2020","4","Porsche","Porsche 911","404"
"2020","5","Porsche","Porsche 911","898"
"2020","6","Porsche","Porsche 911","943"
"2020","7","Porsche","Porsche 911","549"
"2020","8","Porsche","Porsche 911","488"
"2020","9","Porsche","Porsche 911","529"
"2020","10","Porsche","Porsche 911","822"
"2020","11","Porsche","Porsche 911","676"
"2020","12","Porsche","Porsche 911","940"
"2020","1","Porsche","Porsche Cayenne","1,241"
"2020","2","Porsche","Porsche Cayenne","1,607"
"2020","3","Porsche","Porsche Cayenne","973"
"2020","4","Porsche","Porsche Cayenne","688"
"2020","5","Porsche","Porsche Cayenne","1,529"
"2020","6","Porsche","Porsche Cayenne","1,605"
"2020","7","Porsche","Porsche Cayenne","1,581"
"2020","8","Porsche","Porsche Cayenne","1,405"
"2020","9","Porsche","Porsche Cayenne","1,523"
"2020","10","Porsche","Porsche Cayenne","2,004"
"2020","11","Porsche","Porsche Cayenne","1,646"
"2020","12","Porsche","Porsche Cayenne","2,290"
"2020","1","Porsche","Porsche Macan","1,227"
"2020","2","Porsche","Porsche Macan","1,588"
"2020","3","Porsche","Porsche Macan","962"
"2020","4","Porsche","Porsche Macan","714"
"2020","5","Porsche","Porsche Macan","1,586"
"2020","6","Porsche","Porsche Macan","1,665"
"2020","7","Porsche","Porsche Macan","1,917"
"2020","8","Porsche","Porsche Macan","1,704"
"2020","9","Porsche","Porsche Macan","1,846"
"2020","10","Porsche","Porsche Macan","1,830"
"2020","11","Porsche","Porsche Macan","1,503"
"2020","12","Porsche","Porsche Macan","2,091"
"2020","1","Porsche","Porsche Panamera","385"
"2020","2","Porsche","Porsche Panamera","498"
"2020","3","Porsche","Porsche Panamera","302"
"2020","4","Porsche","Porsche Panamera","157"
"2020","5","Porsche","Porsche Panamera","348"
"2020","6","Porsche","Porsche Panamera","366"
"2020","7","Porsche","Porsche Panamera","373"
"2020","8","Porsche","Porsche Panamera","332"
"2020","9","Porsche","Porsche Panamera","359"
"2020","10","Porsche","Porsche Panamera","253"
"2020","11","Porsche","Porsche Panamera","208"
"2020","12","Porsche","Porsche Panamera","290"
"2021","1","Porsche","Porsche 718","482"
"2021","2","Porsche","Porsche 718","482"
"2021","3","Porsche","Porsche 718","542"
"2021","4","Porsche","Porsche 718","306"
"2021","5","Porsche","Porsche 718","294"
"2021","6","Porsche","Porsche 718","306"
"2021","7","Porsche","Porsche 718","254"
"2021","8","Porsche","Porsche 718","245"
"2021","9","Porsche","Porsche 718","254"
"2021","10","Porsche","Porsche 718","497"
"2021","11","Porsche","Porsche 718","497"
"2021","12","Porsche","Porsche 718","497"
"2021","1","Porsche","Porsche 911","890"
"2021","2","Porsche","Porsche 911","890"
"2021","3","Porsche","Porsche 911","1,002"
"2021","4","Porsche","Porsche 911","785"
"2021","5","Porsche","Porsche 911","755"
"2021","6","Porsche","Porsche 911","785"
"2021","7","Porsche","Porsche 911","547"
"2021","8","Porsche","Porsche 911","527"
"2021","9","Porsche","Porsche 911","547"
"2021","10","Porsche","Porsche 911","813"
"2021","11","Porsche","Porsche 911","813"
"2021","12","Porsche","Porsche 911","813"
"2021","1","Porsche","Porsche Cayenne","1,354"
"2021","2","Porsche","Porsche Cayenne","1,354"
"2021","3","Porsche","Porsche Cayenne","1,523"
"2021","4","Porsche","Porsche Cayenne","2,027"
"2021","5","Porsche","Porsche Cayenne","1,949"
"2021","6","Porsche","Porsche Cayenne","2,027"
"2021","7","Porsche","Porsche Cayenne","1,645"
"2021","8","Porsche","Porsche Cayenne","1,584"
"2021","9","Porsche","Porsche Cayenne","1,645"
"2021","10","Porsche","Porsche Cayenne","1,980"
"2021","11","Porsche","Porsche Cayenne","1,980"
"2021","12","Porsche","Porsche Cayenne","1,980"
"2021","1","Porsche","Porsche Macan","2,045"
"2021","2","Porsche","Porsche Macan","2,045"
"2021","3","Porsche","Porsche Macan","2,301"
"2021","4","Porsche","Porsche Macan","1,721"
"2021","5","Porsche","Porsche Macan","1,655"
"2021","6","Porsche","Porsche Macan","1,721"
"2021","7","Porsche","Porsche Macan","1,718"
"2021","8","Porsche","Porsche Macan","1,654"
"2021","9","Porsche","Porsche Macan","1,718"
"2021","10","Porsche","Porsche Macan","1,808"
"2021","11","Porsche","Porsche Macan","1,808"
"2021","12","Porsche","Porsche Macan","1,808"
"2021","1","Porsche","Porsche Panamera","144"
"2021","2","Porsche","Porsche Panamera","144"
"2021","3","Porsche","Porsche Panamera","162"
"2021","4","Porsche","Porsche Panamera","427"
"2021","5","Porsche","Porsche Panamera","411"
"2021","6","Porsche","Porsche Panamera","427"
"2021","7","Porsche","Porsche Panamera","368"
"2021","8","Porsche","Porsche Panamera","354"
"2021","9","Porsche","Porsche Panamera","368"
"2021","10","Porsche","Porsche Panamera","250"
"2021","11","Porsche","Porsche Panamera","250"
"2021","12","Porsche","Porsche Panamera","250"
